[15:01:20.4722][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4742][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4752][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4782][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4792][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4802][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4812][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4822][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4832][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4842][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4862][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4872][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4887][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4897][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4907][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4927][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4947][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4957][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4987][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4997][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5014][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5025][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5035][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5055][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5065][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5075][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5095][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5105][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5115][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.5135][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
